Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Nybygging
Dalsbraut 3 - Íb. 306,Njarðvík,34900000,14550000,0,0,Fjölbýli,2019,74.2,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 3 - Íb. 305,Njarðvík,34900000,13500000,0,0,Fjölbýli,2019,74.2,3,0,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 3 - Íb. 303,Njarðvík,34900000,13500000,0,0,Fjölbýli,2019,74.2,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 3 - Íb. 301,Njarðvík,39500000,18550000,0,0,Fjölbýli,2019,102.5,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 3 - Íb. 208,Njarðvík,39500000,18450000,0,0,Fjölbýli,2019,101.7,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 3 - Íb. 202,Njarðvík,30900000,13400000,0,0,Fjölbýli,2019,74.2,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 3 - Íb. 201,Njarðvík,39500000,17000000,0,0,Fjölbýli,2019,101.7,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 3 - Íb. 106,Njarðvík,39500000,16800000,0,0,Fjölbýli,2019,101.1,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 3 - Íb. 105,Njarðvík,31900000,13250000,0,0,Fjölbýli,2019,74.2,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 3 - Íb. 101,Njarðvík,39500000,18350000,0,0,Fjölbýli,2019,101.4,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Sílalækur 18,Selfossi,34900000,5540000,0,0,Einbýli,2020,151,5,4,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Stillholt 21,Akranesi,39000000,2570000,0,0,Fjölbýli,0,93,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Dalsbraut 14,Njarðvík,33100000,33500000,31400000,0,Fjölbýli,2018,81.3,4,3,1,1,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Hringbraut 96,Reykjanesbæ,33900000,20000000,23950000,0,Fjölbýli,1954,86.4,3,2,1,0,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Bríetartún 11 712,Reykjavík,89900000,69850000,0,0,Fjölbýli,2018,131.3,4,3,1,2,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bríetartún 9 902,Reykjavík,86900000,0,0,0,Fjölbýli,0,121.9,3,2,1,2,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Bríetartún 9 802,Reykjavík,84900000,32700000,0,0,Fjölbýli,2018,121.9,3,2,1,2,Ekki vitað,Nei / Ekki vitað,Nei / Ekki vitað
Eskivellir 11,Hafnarfirði,42000000,3250000,0,0,Fjölbýli,0,84.3,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Já
Árskógar - Opið hús 6,Reykjavík,59700000,49750000,38730000,0,Fjölbýli,1992,108.7,4,3,1,1,Ekki vitað,Já,Nei / Ekki vitað
Laxatunga 167,Mosfellsbæ,95000000,72500000,82750000,0,Einbýli,2015,223.5,6,4,2,3,Sérinngangur,Já,Nei / Ekki vitað
Tröllaborgir 17,Reykjavík,46900000,42450000,34350000,0,Fjölbýli,1996,102.8,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbraut 8,Kópavogi,64900000,64850000,38150000,0,Einbýli,1960,149,8,5,3,2,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Suðurhólar 18,Reykjavík,33900000,32050000,23100000,0,Fjölbýli,1979,74.6,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Miklabraut 74,Reykjavík,30500000,30500000,18550000,0,Fjölbýli,1949,65.2,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Skipalón 4,Hafnarfirði,47900000,42150000,37900000,0,Fjölbýli,2007,94.8,3,2,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Bjarkargrund 14,Akranesi,64900000,57450000,57590000,0,Einbýli,1974,177.2,6,4,2,2,Tveir inngangar,Já,Nei / Ekki vitað
Hraunbær 103,Reykjavík,65700000,21550000,0,0,Fjölbýli,2019,97.4,3,2,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Hraunbær 103,Reykjavík,58900000,20950000,0,0,Fjölbýli,2019,99.7,3,2,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Hraunbær 103,Reykjavík,54400000,20150000,0,0,Fjölbýli,2019,98.8,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 103,Reykjavík,49500000,16150000,0,0,Fjölbýli,2019,62.6,2,1,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Hraunbær 103,Reykjavík,47500000,15950000,0,0,Fjölbýli,2019,62.4,2,1,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Hraunbær 103,Reykjavík,45500000,15250000,0,0,Fjölbýli,2019,63.1,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 103,Reykjavík,46500000,15400000,0,0,Fjölbýli,2019,66.5,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 103,Reykjavík,43900000,15200000,0,0,Fjölbýli,2019,66.5,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 103,Reykjavík,59000000,20850000,0,0,Fjölbýli,2019,105.9,3,2,1,0,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Smyrilshlíð 15,Reykjavík,56500000,0,0,0,Fjölbýli,2019,88.1,2,1,1,1,Sérinngangur,Já,Já
Smyrilshlíð 15,Reykjavík,59900000,0,0,0,Fjölbýli,2019,88.4,3,2,1,1,Sérinngangur,Já,Já
Hraunbær 103,Reykjavík,58900000,23350000,0,0,Fjölbýli,2019,113.8,3,2,1,2,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 103,Reykjavík,63900000,24600000,0,0,Fjölbýli,2019,125.1,3,2,1,2,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 103,Reykjavík,49000000,20150000,0,0,Fjölbýli,2019,98.5,2,1,1,0,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 103,Reykjavík,69500000,25100000,0,0,Fjölbýli,2019,131.5,3,2,1,2,Sameiginlegur,Já,Nei / Ekki vitað
Smyrilshlíð 15,Reykjavík,55900000,0,0,0,Fjölbýli,2019,88.5,2,1,1,1,Sérinngangur,Já,Já
Hraunbær 103,Reykjavík,55900000,20200000,0,0,Fjölbýli,2019,92.4,2,1,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Hraunbær 103,Reykjavík,57500000,20450000,0,0,Fjölbýli,2019,98.3,2,1,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Kjarrhólmi 36,Kópavogi,39900000,37100000,30400000,0,Fjölbýli,1973,86.8,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 103,Reykjavík,45500000,15100000,0,0,Fjölbýli,2019,63.5,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Engjasel 72,Reykjavík,23900000,17750000,12600000,0,Fjölbýli,1976,35.1,1,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
