Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Dags.sott,Nybygging
Hafnarbraut 13 A,Kópavogi,67900000,25200000,0,0,Fjölbýli,2019,117.4,4,3,1,1,Ekki vitað,Já,2020-03-21,Já
Hafnarbraut 13 A,Kópavogi,68900000,6260000,0,0,Fjölbýli,0,135.3,4,3,1,1,Sameiginlegur,Já,2020-03-21,Já
Hafnarbraut 13 A,Kópavogi,72900000,25800000,0,0,Fjölbýli,2019,118.9,4,3,1,1,Sameiginlegur,Já,2020-03-21,Já
Hafnarbraut 15 C,Kópavogi,83900000,7470000,0,0,Fjölbýli,0,174.4,5,3,2,2,Sameiginlegur,Já,2020-03-21,Já
Hafnarbraut 15 C,Kópavogi,79900000,7190000,0,0,Fjölbýli,0,165.1,5,3,2,2,Sameiginlegur,Já,2020-03-21,Já
Hafnarbraut 15 C,Kópavogi,71900000,6120000,0,0,Fjölbýli,0,129.2,4,3,1,2,Sameiginlegur,Já,2020-03-21,Já
Hafnarbraut 15 C,Kópavogi,72900000,6180000,0,0,Fjölbýli,0,131.2,4,3,1,2,Sameiginlegur,Já,2020-03-21,Já
Safamýri 39,Reykjavík,78900000,70750000,58440000,0,Fjölbýli,1964,172.1,6,4,2,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Strandasel 5,Reykjavík,39900000,31850000,24500000,0,Fjölbýli,1975,80.1,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fossatunga 29,Mosfellsbæ,84800000,43800000,0,0,Par/Raðhús,2019,208.3,5,4,2,2,Sérinngangur,Já,2020-03-21,Já
Fossatunga 31,Mosfellsbæ,84800000,43800000,0,0,Par/Raðhús,2019,208.3,5,4,2,2,Sérinngangur,Já,2020-03-21,Já
Vesturgil 2,Akureyri,50800000,51050000,50000000,0,Par/Raðhús,1999,137.6,3,2,1,1,Tveir inngangar,Já,2020-03-21,Nei / Ekki vitað
Kleppsvegur 104,Reykjavík,99000000,75950000,55850000,0,Einbýli,1954,200.5,9,5,NA,3,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Keilusíða 8,Akureyri,24500000,21600000,23000000,0,Fjölbýli,1979,69,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Baugakór 3,Kópavogi,47900000,40450000,40990000,0,Fjölbýli,2006,97.8,3,2,1,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Sólheimar 23 - íbúð 505,Reykjavík,52400000,51050000,35350000,0,Fjölbýli,1961,123.4,5,3,2,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hafnarbraut 15 B,Kópavogi,51900000,4830000,0,0,Fjölbýli,0,91.8,3,2,1,1,Ekki vitað,Já,2020-03-21,Já
Mýrarsel 3,Reykjavík,96800000,85950000,92500000,0,Fjölbýli,1983,292.9,8,4,2,2,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Skyggnisholt 10,Vogum,38900000,2240000,0,0,Fjölbýli,2019,99.9,4,3,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Já
Skyggnisholt 10,Vogum,29900000,1595000,0,0,Fjölbýli,2019,64.4,2,1,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Eskivellir 11,Hafnarfirði,42200000,3250000,0,0,Fjölbýli,0,84.3,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
Háalind 17,Kópavogi,84900000,72950000,55880000,0,Par/Raðhús,1999,168.5,6,4,2,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Illugagata 63,Vestmannaeyjum,33900000,27600000,37650000,0,Einbýli,1932,168.5,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Stapasíða 11,Akureyri,51800000,45750000,54850000,0,Fjölbýli,1980,162.6,5,4,1,2,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
