Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Dags.sott,Nybygging
"Spánn, 93 m2 íbúð í miðbæ Formentera",Útlöndum,23052000,0,0,0,Fjölbýli,2020,93,3,2,1,3,Sameiginlegur,Já,2020-03-21,Já
Lágaleiti 3,Reykjavík,64900000,54050000,0,0,Fjölbýli,2019,112.4,3,2,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Bríetartún 9 801,Reykjavík,93900000,35250000,0,0,Fjölbýli,2018,135.8,3,2,1,2,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Köllunarklettsvegur 4,Reykjavík,NA,146450000,124250000,0,atv,1949,100,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Askalind 4,Kópavogi,185000,0,0,0,atv,2001,100,0,0,0,0,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
"Spánn, glæsileg 110 m2 íbúð 4 km frá Golf",Útlöndum,23052000,0,0,0,Fjölbýli,2020,110,3,2,1,2,Sameiginlegur,Já,2020-03-21,Já
Staðarhraun 2,Grindavík,26500000,24100000,39700000,0,Fjölbýli,1959,122.2,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Faxabraut 27,Reykjanesbæ,25900000,24200000,27000000,0,Fjölbýli,1957,95.5,4,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Drumboddsstaðir 7,Selfossi,22400000,16250000,15400000,0,Sumarhús,1993,55.6,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bogaslóð  12,Höfn í Hornafirði,23000000,18110000,24100000,0,Hæðir,1956,86,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bogaslóð  12,Höfn í Hornafirði,32000000,24150000,38900000,0,Hæðir,1956,130.9,4,2,2,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Frakkastígur 14A,Reykjavík,140000000,103750000,36850000,0,Fjölbýli,1914,182.9,7,4,3,3,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Sogsbakki 31,Selfossi,47500000,36350000,37300000,0,Sumarhús,2007,93.9,4,3,1,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
"Spánn, rétt utan við miðbæ Benijofar",Útlöndum,24412000,0,0,0,Fjölbýli,2020,109,3,2,1,2,Sameiginlegur,Já,2020-03-21,Já
Brimhólabraut,Vestmannaeyjum,40000000,30900000,48800000,0,Einbýli,1958,150.8,4,3,1,1,-,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lágaleiti 9,Reykjavík,39900000,33800000,0,0,Fjölbýli,2019,53.9,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Lágaleiti 9,Reykjavík,36900000,31200000,0,0,Fjölbýli,2019,50,1,0,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
"Spánn, 4 herbergja íbúð í miðbænum",Útlöndum,21692000,0,0,0,Fjölbýli,2020,93,3,2,1,3,Sameiginlegur,Já,2020-03-21,Já
"Spánn, 130 m2 íbúð 4 km frá Golf",Útlöndum,26520000,0,0,0,Fjölbýli,2020,130,4,3,1,3,Sameiginlegur,Já,2020-03-21,Já
Ketilsbraut 20,Húsavík,49800000,46000000,81370000,0,Einbýli,1953,290.4,10,7,2,3,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
"Spánn, Costa Blanca, glæsiíbúð á frábæru verði",Útlöndum,23052000,0,0,0,Fjölbýli,2019,117,4,3,1,3,Sameiginlegur,Já,2020-03-21,Já
Hjallanes 2,Hellu,170000000,91356000,225590000,0,Jörð/Lóð,0,2041.5,7,5,2,0,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hjallavegur 3,Njarðvík,25500000,25100000,25250000,0,Fjölbýli,1970,81.8,3,2,1,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Grenimelur 1,Reykjavík,139000000,88550000,62740000,0,Hæðir,1947,259.3,10,7,3,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Kleppsvegur 62,Reykjavík,44900000,36550000,27450000,0,Fjölbýli,1995,78.6,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Holtsbraut 10,Hellu,19990000,13700000,14950000,0,Sumarhús,1993,55,3,2,1,1,Tveir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hamraborg 20,Kópavogi,46900000,30550000,49500000,0,atv,1974,156.4,0,0,0,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Ægisíða 56,Reykjavík,49900000,54200000,26500000,0,Hæðir,1956,91.7,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Selvogsbraut 19a,Þorlákshöfn,32500000,23450000,39400000,0,Par/Raðhús,1977,112.7,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hafnarstræti 100,Akureyri,25800000,12850000,19100000,0,Fjölbýli,1946,55.5,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Greniteigur 51,Reykjanesbæ,47800000,45550000,51520000,0,Par/Raðhús,1966,172.6,5,3,2,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Bogabraut 952,Reykjanesbæ,26500000,0,0,0,Fjölbýli,1969,89.3,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bogabraut 952,Reykjanesbæ,26500000,0,0,0,Fjölbýli,1969,89.3,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dagverðarnes þ.m.t. Snóksey Dalabyggð,Búðardal,NA,10209000,2032000,0,Jörð/Lóð,NA,91.8,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Nesgata 25,Neskaupstað,17500000,12100000,19500000,0,Hæðir,1960,69.3,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bogatröð 4,Reykjanesbæ,69900000,32500000,0,0,atv,1960,639.1,0,NA,NA,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Spánn - Vistabella,Útlöndum,27200000,0,0,0,Par/Raðhús,NA,0,4,3,1,0,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
Suðurlandsbraut 4,Reykjavík,NA,0,0,0,atv,NA,177,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dyngjugata 1-3 íb. 203,Garðabæ,64900000,57800000,64450000,0,Fjölbýli,2017,135.8,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Carrer de Brasil Spánn 6,Útlöndum,NA,0,0,0,Einbýli,2019,200,6,4,2,3,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Iðavellir 2,Reykjanesbæ,69900000,24750000,20300000,0,atv,1983,214.7,0,NA,NA,NA,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fellsmúli 26,Reykjavík,NA,0,0,0,atv,1970,21,36,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fellsmúli 26,Reykjavík,NA,0,0,0,atv,1970,95,36,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Kjarrmói 5,Njarðvík,56000000,52200000,64200000,0,Par/Raðhús,1991,187.7,6,4,2,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fossháls 27,Reykjavík,52200,0,0,0,atv,NA,23.7,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Eskivellir 19,Hafnarfirði,41900000,35000000,28150000,18073428,Fjölbýli,2009,79.9,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Þverholt 14,Reykjavík,NA,0,0,0,atv,1991,200,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Vallholt 19,Selfossi,79900000,60850000,115650000,0,atv,1982,375.8,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hátún 24,Eskifirði,37500000,25500000,62400000,0,Einbýli,1966,209.8,7,5,2,2,Tveir inngangar,Já,2020-03-21,Nei / Ekki vitað
Fiskislóð 53,Reykjavík,NA,0,0,0,atv,1987,123,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Túngata 38,Eyrarbakka,6500000,2460000,0,0,Jörð/Lóð,2020,214.4,0,0,0,0,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Flugumýri 14,Mosfellsbæ,135000000,118600000,167150000,0,atv,2000,544.6,6,0,0,0,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bríetartún 11 411,Reykjavík,51900000,22500000,0,0,Fjölbýli,2018,78.5,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hraunbær 103C 207,Reykjavík,54400000,20000000,0,0,Fjölbýli,2019,98.8,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Vesturhús 7,Reykjavík,98500000,85950000,70450000,0,Einbýli,1990,232.6,6,4,2,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Tónahvarf 6L 6,Kópavogi,59107000,19300000,0,0,atv,2018,204.1,1,NA,NA,NA,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Tónahvarf 6M 6,Kópavogi,59107000,19300000,0,0,atv,2018,204.1,1,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Brekkustígur 20,Sandgerði,25900000,19700000,28250000,0,Hæðir,1949,95,3,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Tónahvarf 6K 6,Kópavogi,59107000,19300000,0,0,atv,2018,204.1,1,NA,NA,1,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Reykjaborg,Varmahlíð,79500000,55275000,120090000,0,Jörð/Lóð,NA,1206.8,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Heyholt 28,Borgarnesi,12900000,9470000,11430000,0,Sumarhús,1986,40.2,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Sætún E,Reykjavík,15000000,18100000,0,0,Jörð/Lóð,2019,0,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Sætún  B,Reykjavík,65000000,7260000,0,0,Jörð/Lóð,6300,6300,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Garðastræti 21,Reykjavík,49900000,39100000,25600000,0,Fjölbýli,1927,53.7,3,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Vesturgata 53,Reykjavík,24500000,17630000,17850000,0,Par/Raðhús,1947,67.1,2,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Álfatún 15,Kópavogi,54900000,50750000,41280000,0,Fjölbýli,1982,128.5,4,3,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Eyrartröð 12,Hafnarfirði,NA,177600000,160200000,0,atv,1981,1310,0,0,0,0,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Austurgata 19,Hafnarfirði,51900000,45950000,38450000,0,Fjölbýli,1915,145,4,2,2,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bugatún 14,Tálknafirði,NA,15300000,48950000,0,Einbýli,1991,140.7,5,4,1,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Ísleifsbúð  18,Þorlákshöfn,33500000,0,0,0,Par/Raðhús,2019,177.1,4,3,1,2,Sérinngangur,Já,2020-03-21,Já
Ísleifsbúð  20,Þorlákshöfn,34900000,0,0,0,Par/Raðhús,2019,177.9,4,3,1,2,Sérinngangur,Já,2020-03-21,Já
Ísleifsbúð  16,Þorlákshöfn,34900000,0,0,0,Par/Raðhús,2019,177.9,4,3,1,2,Sérinngangur,Já,2020-03-21,Já
Eignir á Costa blanca óskast,Útlöndum,NA,0,0,0,Fjölbýli,NA,0,0,2,0,2,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dyngjugata 1-3 íb. 304,Garðabæ,60900000,53800000,59000000,0,Fjölbýli,2017,123.1,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Suðurlandsbraut 22,Reykjavík,NA,0,0,0,atv,1986,150,0,0,0,0,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fossaleynir 6,Reykjavík,NA,0,0,0,atv,NA,861,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fossaleynir 6,Reykjavík,220000000,195300000,236150000,0,atv,1999,861,5,0,0,0,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Laugavegur 27A-CDE,Reykjavík,1065000,0,0,0,atv,NA,239.3,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Vallargata 24 - Þægileg kaup,Reykjanesbæ,NA,20350000,31920000,NA,Hæð,1927,109.1,3,2,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Punta Prima í eigu íslendings,Útlöndum,NA,0,0,0,Fjölbýli,2019,70,4,3,1,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bæjarhraun 12,Hafnarfirði,NA,54150000,0,0,atv,1988,160,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Skipholt 70,Reykjavík,39900000,37900000,24900000,0,Fjölbýli,1965,66.2,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Grensásvegur 14,Reykjavík,NA,100650000,98800000,0,atv,1965,642.4,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Skútuvogur,Reykjavík,NA,95150000,87250000,0,atv,1987,374.9,0,0,0,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Ármúli 44,Reykjavík,NA,87050000,84550000,0,atv,1963,400,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Baugakór 18,Kópavogi,240000,43450000,40270000,0,Fjölbýli,2006,105,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Köllunarklettsvegur 4,Reykjavík,85000000,149250000,114100000,0,atv,1949,614.9,0,NA,NA,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hliðsnes,Garðabæ,89900000,75820000,50960000,0,Einbýli,1967,277.6,5,3,2,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bjarkargata 14,Reykjavík,59900000,70600000,32850000,0,Fjölbýli,1930,118.2,4,2,2,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lækjamót 53,Sandgerði,49500000,49750000,62350000,0,Einbýli,2006,198.7,6,4,2,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Hraunbær 103A 101,Reykjavík,69500000,25100000,0,0,Fjölbýli,2019,131.5,3,2,1,2,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Höfðagata 12,Grenivík,35900000,30250000,67500000,0,Einbýli,1980,213.1,7,5,1,2,Tveir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Tjarnabraut 14,Njarðvík,48500000,48400000,46200000,0,Fjölbýli,2008,137.2,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Höfði 7 103,Húsavík,NA,5910000,0,0,atv,2018,114.2,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Höfði 7 102,Húsavík,NA,5910000,0,0,atv,2018,114.2,0,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Garðarsbraut 41 101,Húsavík,20900000,16500000,21600000,0,Fjölbýli,1967,78.7,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Vallholtsvegur 7,Húsavík,28000000,19650000,29500000,0,Fjölbýli,1958,110.4,5,4,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hraunberg 4,Reykjavík,NA,79050000,117750000,0,atv,1985,386.3,3,0,0,0,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Skipasund 44,Reykjavík,42500000,37050000,24700000,0,Fjölbýli,1950,82.3,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Smáratorg 3,Kópavogi,NA,0,0,0,atv,NA,55,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Uppsalavegur 2,Húsavík,31000000,27900000,37900000,0,Einbýli,1946,137.1,5,4,1,2,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Túngata 9 Húsavík,Húsavík,32900000,25050000,42070000,0,Fjölbýli,1964,137,3,2,1,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Sómatún 3 202,Akureyri,37600000,38500000,35350000,0,Fjölbýli,2011,97,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Sómatún 3 202,Akureyri,37600000,38500000,35350000,0,Fjölbýli,2011,97,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindargata 39,Reykjavík,55900000,57500000,37180000,0,Fjölbýli,2014,85.9,3,2,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Drekavellir 20,Hafnarfirði,39900000,35800000,27650000,0,Fjölbýli,2006,81.2,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Kirkjusandur 505 (Stuðlaborg),Reykjavík,79500000,70000000,0,0,Fjölbýli,2019,104.9,3,2,1,2,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Mávabraut 8,Reykjanesbæ,43800000,45400000,48040000,0,Par/Raðhús,1960,176.2,6,4,2,2,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Maio Villamartin,Útlöndum,32000000,0,0,0,Fjölbýli,NA,84,4,3,1,2,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Samoa Ný raðhús,Útlöndum,46575000,0,0,0,Par/Raðhús,2019,110,4,3,1,3,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fossvellir 4,Húsavík,29800000,24350000,43950000,0,Einbýli,1955,151.1,5,3,2,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
"Áshamar57,3,hth",Vestmannaeyjum,22500000,22450000,33950000,0,Fjölbýli,1988,108.6,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Herjólfsgata,Vestmannaeyjum,24000000,18000000,30650000,0,Fjölbýli,1957,109.2,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Foldahraun,Vestmannaeyjum,20900000,18600000,27700000,0,Fjölbýli,1975,98.2,4,3,1,1,-,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Boðaslóð,Vestmannaeyjum,18000000,16300000,23350000,0,Fjölbýli,1950,86.9,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Halldóruhagi 10,Akureyri,48400000,19100000,1,0,Fjölbýli,2019,101.8,3,2,1,0,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
La Finca einbýli EUA,Útlöndum,37000000,0,0,0,Einbýli,2019,98,4,3,1,3,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Halldóruhagi 10,Akureyri,43000000,17950000,1,0,Fjölbýli,2019,93.5,3,2,1,0,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hverfisgata 86,Reykjavík,48000000,23050000,16400000,0,Fjölbýli,1904,64.2,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Grettisgata 64,Reykjavík,34500000,10540000,14400000,0,atv,1929,61.2,2,2,5,6,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Ármúli 38,Reykjavík,54900000,65500000,58900000,0,Fjölbýli,1968,220.7,8,0,0,2,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Trilluvogur 5 Raðhús,Reykjavík,89900000,37550000,0,0,Par/Raðhús,2019,180.9,6,4,2,3,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Grettisgata 64,Reykjavík,72000000,34180000,34300000,0,atv,1929,172.7,3,2,5,6,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fjarkaland,Hellu,16500000,9520000,0,0,Jörð/Lóð,2010,19.7,2,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lágmúli (leiga) 5,Reykjavík,NA,78300000,93950000,0,atv,1972,13,1,0,0,0,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Grettisgata 64,Reykjavík,107000000,42650000,46000000,0,atv,1929,233.9,7,2,5,6,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hverfisgata 33,Reykjavík,NA,144600000,171400000,NA,Atvinnuhús,1965,465.6,11,NA,NA,4,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Sólheimar 5,Akranesi,19500000,14800000,0,0,Sumarhús,2004,58,3,1,1,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hraunberg 4,Reykjavík,NA,79410000,103150000,0,atv,1985,365.9,8,0,0,2,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hraunberg 4,Reykjavík,NA,18300000,27000000,0,atv,1985,84.2,2,0,0,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hraunberg 4,Reykjavík,NA,37850000,45650000,0,atv,1985,174.3,3,0,0,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hraunberg 4,Reykjavík,NA,14800000,19400000,0,atv,1985,68,1,0,0,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hraunberg 4,Reykjavík,NA,8550000,11100000,0,atv,1985,39.4,1,0,0,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Tónahvarf 6M,Kópavogi,59107000,19300000,0,0,atv,2018,204.1,1,0,0,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Tónahvarf 6L,Kópavogi,59107000,19300000,0,0,atv,2018,204.1,1,0,0,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Tónahvarf 6K,Kópavogi,59107000,19300000,0,0,atv,2018,204.1,0,0,0,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lágaleiti 9,Reykjavík,37900000,33200000,0,0,Fjölbýli,2019,49.7,2,0,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Berjarimi 24,Reykjavík,42800000,37200000,32570000,0,Fjölbýli,1994,124.7,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Nýbýlavegur 2,Kópavogi,NA,0,0,0,atv,1970,1100,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fiskakvísl 26,Reykjavík,67900000,58600000,55550000,0,Fjölbýli,1983,159.3,5,4,2,0,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Kotabyggð 15,Akureyri,149500000,58900000,64050000,0,Sumarhús,2017,260.9,6,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Stórholt 11,Ísafirði,14000000,8920000,22650000,0,Fjölbýli,1977,70.1,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Gefjunarbrunnur 3,Reykjavík,70000000,52850000,0,0,Par/Raðhús,2018,250.9,5,3,2,2,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Galdramýri 0,Selfossi,NA,6550000,0,0,Jörð/Lóð,0,0,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Suðurlandsbraut 30,Reykjavík,NA,0,0,0,atv,NA,33,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Skútuvogur 2,Reykjavík,NA,0,0,0,atv,1979,1700,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Desjamýri 8,Mosfellsbæ,81900000,61800000,83600000,0,atv,2018,307.2,0,0,0,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hólmgarður 2,Reykjanesbæ,27900000,24950000,28500000,0,Fjölbýli,1983,85,3,NA,NA,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Stillholt 21,Akranesi,48400000,5700000,0,0,Fjölbýli,0,105.3,3,2,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Bjarkarholt 20,Mosfellsbæ,39500000,2880000,0,0,Fjölbýli,NA,60.4,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Móholt 3,Ísafirði,46000000,35300000,63650000,0,Einbýli,1979,186,5,4,1,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Garðatorg 1,Garðabæ,NA,0,0,0,atv,NA,188,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hlíðargata 11,Akureyri,46900000,33050000,43800000,0,Fjölbýli,1946,146.1,4,4,2,2,Margir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Skútuvogur 2,Reykjavík,NA,0,0,0,atv,1979,650,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Skútuvogur 2,Reykjavík,NA,0,0,0,atv,1979,400,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Suðurlandsbraut 22,Reykjavík,NA,64750000,70850000,0,atv,1986,130,7,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
